title,company,summary,job_location,post_date,salary,availability
Python Developer/Model Implementation,Ally Financial,The Python Developer will be responsible for implementing business processes and solutions using the models developed by Ally's Modeling and Analytics group.,"Charlotte, NC",Posted30+ days ago,None,Full-time
PYTHON DEVELOPER,OC10,"We are looking for a Python Web Developer responsible for developing, enhancing, modifying, maintaining applications and managing the interchange of data…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,Estimated $102K - $130K a year,None
newSQL/Python Reporting Developer,Bank of America,Responsible for performing more complex analysis and is engaged in the development of modeling that maximizes profits and asset growth and minimizes credit and…,"Charlotte, NC 28202 (First Ward area)+7 locations",Posted2 days ago,None,Full-time
newSoftware QE Developer - Opportunity for Working Remotely Cha...,VMware,"Working with the Networking Security team, you will be engaged in testing for network services such as NSX, Firewall, VPN, etc., and ensuring that you deliver…","Remote in Charlotte, NC+4 locations",Posted5 days ago,None,Full-time
IaC Terraform Engineer,WELLS FARGO BANK,"Lead moderately complex initiatives and deliverables within technical domain environments.
Contribute to large scale planning of strategies.","Charlotte, NC",Posted30+ days ago,None,Full-time
newTools Developer,Verisk,"Good to have: bash, python, ruby, nodejs, laravel, AWS.
We are looking for experienced developers with broad skillsets to work on special projects, internal…","Remote in Huntersville, NC 28078",Posted2 days ago,Estimated $103K - $130K a year,Full-time
Software Engineer,Pratt Miller,"Our range of research & development, engineering, prototype manufacturing, test & validation, and low-rate production capability help our customers bring their…","Huntersville, NC 28078",Posted26 days ago,Estimated $97.5K - $123K a year,Full-time
Python Agent Engineer - Remote,New Relic,"Customers run our code in their production systems, which means you write, build and run a comprehensive test suite to make sure each release is extensively…","Remote in Charlotte, NC 28201",Posted10 days ago,None,"$95,000 - $119,000 a year"
Hadoop Developer,Bank of America,"The Data Analytics and Insights Technology team, part of Retail Preferred Small Business & Wealth Technology, is searching for a Hadoop Developer.","Charlotte, NC 28202 (Third Ward area)+1 location",Posted30+ days ago,None,Full-time
Entry Level to Senior Level Software Developers,Lorven Group,"Analyze, Design, Develop & Modify Multi-Tier Enterprise applications using various technologies such as Python, SQL, HTML/ XHTML, Oracle PL/SQL, Hive, Spark,…","Pineville, NC 28134",Posted30+ days ago,Estimated $83.9K - $106K a year,None
Backend Web Developer,Wastequip,"Education: Bachelor's degree from an accredited university in the field of computer science, software engineering, software development, or other such…","Charlotte, NC 28211 (Barclay Downs area)",Posted30+ days ago,Estimated $75.9K - $96.1K a year,Full-time
Cloud Engineer,Vanguard,"Develop and build AWS cloud native stacks using Cloud Formation and development languages such as Python, NodeJS and Java.","Charlotte, NC+3 locations",Posted30+ days ago,None,None
newFrontend VueJS Developer,Deloitte,"The selected candidate will be tasked with for developing capabilities for our Design, Analytics, and Discovery tool sets on the frontend with VueJS framework.","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted1 day ago,None,Full-time
Backend Software Engineer - Opportunity for Working Remotely...,VMware,"The primary technical skills include working with java (debugging and developing), python and SQL.
Thrill of the hunt: this job is primarily about root cause…","Remote in Charlotte, NC",Posted23 days ago,None,Full-time
